model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
naive,ETTm2,336,192,2021,0.34,0.370673,0.252151,0,0,0.0,68.1,0,L336
naive,ETTm2,336,192,2022,0.34,0.370673,0.252151,0,0,0.0,68.1,0,L336
naive,ETTm2,336,192,2023,0.34,0.370673,0.252151,0,0,0.0,68.1,0,L336
nlinear,ETTm2,336,192,2021,0.222162,0.294211,0.157564,64704,129024,2.6135,71.4,15,L336
nlinear,ETTm2,336,192,2022,0.221691,0.293875,0.157438,64704,129024,2.6868,71.4,11,L336
nlinear,ETTm2,336,192,2023,0.22135,0.293749,0.157421,64704,129024,3.2032,71.4,11,L336
dlinear,ETTm2,336,192,2021,0.229341,0.307214,0.160576,129408,258048,3.9846,72.9,5,L336
dlinear,ETTm2,336,192,2022,0.234753,0.316423,0.162878,129408,258048,3.8104,72.9,10,L336
dlinear,ETTm2,336,192,2023,0.222561,0.299284,0.156739,129408,258048,3.5074,72.9,7,L336
rlinear,ETTm2,336,192,2021,0.220779,0.292418,0.157243,64706,129024,3.9463,71.1,9,L336
rlinear,ETTm2,336,192,2022,0.221326,0.292367,0.157231,64706,129024,4.0255,71.1,9,L336
rlinear,ETTm2,336,192,2023,0.220684,0.292447,0.157373,64706,129024,4.2935,71.1,10,L336
fits,ETTm2,336,192,2021,0.222195,0.292943,0.157418,5676,22176,4.6531,71.6,17,L336
fits,ETTm2,336,192,2022,0.222059,0.292771,0.157405,5676,22176,3.6618,71.6,17,L336
fits,ETTm2,336,192,2023,0.222013,0.292808,0.157311,5676,22176,4.3496,71.6,19,L336
patchtst,ETTm2,336,192,2021,0.247919,0.312997,0.177673,587010,0,1141.692,158.4,5,L336
patchtst,ETTm2,336,192,2022,0.232075,0.30318,0.177863,587010,0,14.2903,158.4,4,L336
patchtst,ETTm2,336,192,2023,0.248301,0.308072,0.176075,587010,0,14.527,158.4,5,L336
naive,ETTm2,336,336,2021,0.412055,0.409911,0.303116,0,0,0.0,68.6,0,L336
naive,ETTm2,336,336,2022,0.412055,0.409911,0.303116,0,0,0.0,68.6,0,L336
naive,ETTm2,336,336,2023,0.412055,0.409911,0.303116,0,0,0.0,68.6,0,L336
nlinear,ETTm2,336,336,2021,0.27603,0.329308,0.200499,113232,225792,3.3922,73.0,11,L336
nlinear,ETTm2,336,336,2022,0.276136,0.329442,0.200587,113232,225792,3.2682,73.0,12,L336
nlinear,ETTm2,336,336,2023,0.276409,0.32914,0.200281,113232,225792,2.782,73.0,8,L336
dlinear,ETTm2,336,336,2021,0.309843,0.37001,0.217043,226464,451584,3.3804,75.4,9,L336
dlinear,ETTm2,336,336,2022,0.278961,0.337044,0.201632,226464,451584,3.1447,75.4,6,L336
dlinear,ETTm2,336,336,2023,0.324223,0.379363,0.222724,226464,451584,3.1127,75.4,4,L336
rlinear,ETTm2,336,336,2021,0.274611,0.327346,0.200545,113234,225792,4.3577,72.7,9,L336
rlinear,ETTm2,336,336,2022,0.274531,0.32767,0.200721,113234,225792,4.5275,72.7,13,L336
