model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
naive,ETTm1,336,336,1.286579,0.0,0.7072379999999999,0.0,0,0,0.0,68.6,3
naive,ETTm1,336,720,1.322312,0.0,0.7294680000000001,0.0,0,0,0.0,70.0,3
naive,ETTm2,96,96,0.266462,0.0,0.327765,0.0,0,0,0.0,67.5,3
naive,ETTm2,96,192,0.34,0.0,0.370673,0.0,0,0,0.0,67.9,3
naive,ETTm2,96,336,0.412055,0.0,0.40991099999999997,0.0,0,0,0.0,68.4,3
naive,ETTm2,96,720,0.521559,0.0,0.465622,0.0,0,0,0.0,69.8,3
naive,ETTm2,336,96,0.266462,0.0,0.327765,0.0,0,0,0.0,67.8,3
naive,ETTm2,336,192,0.34,0.0,0.370673,0.0,0,0,0.0,68.1,3
naive,ETTm2,336,336,0.412055,0.0,0.40991099999999997,0.0,0,0,0.0,68.6,3
naive,ETTm2,336,720,0.521559,0.0,0.465622,0.0,0,0,0.0,70.0,3
naive,weather,96,96,0.259125,0.0,0.254221,0.0,0,0,0.0,68.4,3
naive,weather,96,192,0.309216,0.0,0.29175,0.0,0,0,0.0,69.4,3
naive,weather,96,336,0.376412,0.0,0.33771600000000007,0.0,0,0,0.0,71.0,3
naive,weather,96,720,0.4652,0.0,0.3935199999999999,0.0,0,0,0.0,75.1,3
naive,weather,336,96,0.259125,0.0,0.254221,0.0,0,0,0.0,69.0,3
naive,weather,336,192,0.309216,0.0,0.29175,0.0,0,0,0.0,70.1,3
naive,weather,336,336,0.376412,0.0,0.33771600000000007,0.0,0,0,0.0,71.6,3
naive,weather,336,720,0.4652,0.0,0.3935199999999999,0.0,0,0,0.0,75.8,3
nlinear,ETTh1,96,96,0.3982316666666667,0.002984257417404446,0.406642,0.0028399804576792536,9312,18432,0.6128666666666667,69.2,3
nlinear,ETTh1,96,192,0.4463586666666666,0.001426092680485146,0.43297500000000005,0.000983112913148837,18624,36864,0.7008333333333333,69.8,3
nlinear,ETTh1,96,336,0.48787,0.0014481336264309471,0.4540166666666667,0.0013837175771570366,32592,64512,0.7024666666666667,70.8,3
nlinear,ETTh1,96,720,0.48240599999999995,0.00010280564186850347,0.471708,8.973850901368134e-05,69840,138240,0.6909000000000001,73.5,3
