model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
naive,ETTm1,336,192,2021,1.261195,0.690363,1.365940,0,0,0.0000,68.1,0,L336
naive,ETTm1,336,192,2022,1.261195,0.690363,1.365940,0,0,0.0000,68.1,0,L336
naive,ETTm1,336,192,2023,1.261195,0.690363,1.365940,0,0,0.0000,68.1,0,L336
nlinear,ETTm1,336,192,2021,0.339892,0.367324,0.506452,64704,129024,3.3085,71.4,9,L336
nlinear,ETTm1,336,192,2022,0.346754,0.373381,0.505588,64704,129024,3.3211,71.4,5,L336
nlinear,ETTm1,336,192,2023,0.342165,0.369283,0.507435,64704,129024,3.2904,71.4,6,L336
dlinear,ETTm1,336,192,2021,0.338577,0.367903,0.487997,129408,258048,3.5146,72.9,6,L336
dlinear,ETTm1,336,192,2022,0.335184,0.364999,0.488574,129408,258048,3.4889,72.9,8,L336
dlinear,ETTm1,336,192,2023,0.338577,0.371558,0.486184,129408,258048,3.3355,72.9,6,L336
rlinear,ETTm1,336,192,2021,0.336688,0.364343,0.507185,64706,129024,4.2475,71.1,20,L336
rlinear,ETTm1,336,192,2022,0.341233,0.368869,0.506389,64706,129024,4.3761,71.1,5,L336
rlinear,ETTm1,336,192,2023,0.336977,0.364534,0.506296,64706,129024,4.3179,71.1,10,L336
fits,ETTm1,336,192,2021,0.338258,0.365719,0.511621,5676,22176,3.7258,71.6,7,L336
fits,ETTm1,336,192,2022,0.337875,0.365485,0.511388,5676,22176,3.8817,71.6,18,L336
fits,ETTm1,336,192,2023,0.338492,0.365724,0.511059,5676,22176,4.7579,71.6,6,L336
freqlite,ETTm1,336,192,2021,0.341613,0.367524,0.502992,129989,314444,8.0693,74.0,6,L336
freqlite,ETTm1,336,192,2022,0.344759,0.371496,0.507410,129989,314444,7.4137,74.0,4,L336
freqlite,ETTm1,336,192,2023,0.336469,0.363894,0.506193,129989,314444,6.3921,74.0,8,L336
patchtst,ETTm1,336,192,2021,0.346261,0.382668,0.502272,587010,0,14.3359,158.4,5,L336
patchtst,ETTm1,336,192,2022,0.346036,0.383179,0.521188,587010,0,14.6056,158.4,6,L336
patchtst,ETTm1,336,192,2023,0.343656,0.377443,0.506381,587010,0,14.0491,158.4,4,L336
naive,ETTm1,336,336,2021,1.286579,0.707238,1.510174,0,0,0.0000,68.6,0,L336
naive,ETTm1,336,336,2022,1.286579,0.707238,1.510174,0,0,0.0000,68.6,0,L336
naive,ETTm1,336,336,2023,1.286579,0.707238,1.510174,0,0,0.0000,68.6,0,L336
nlinear,ETTm1,336,336,2021,0.375273,0.387267,0.651258,113232,225792,2.7175,73.0,7,L336
nlinear,ETTm1,336,336,2022,0.373298,0.386273,0.650741,113232,225792,3.0138,73.0,10,L336
nlinear,ETTm1,336,336,2023,0.372275,0.385362,0.652119,113232,225792,3.3297,73.0,10,L336
dlinear,ETTm1,336,336,2021,0.371735,0.389244,0.611393,226464,451584,3.8768,75.4,7,L336
dlinear,ETTm1,336,336,2022,0.372085,0.390214,0.607732,226464,451584,3.7088,75.4,7,L336
dlinear,ETTm1,336,336,2023,0.370985,0.389097,0.611141,226464,451584,3.2167,75.4,8,L336
rlinear,ETTm1,336,336,2021,0.373537,0.386119,0.651698,113234,225792,3.4912,72.7,7,L336
rlinear,ETTm1,336,336,2022,0.373588,0.386409,0.651479,113234,225792,3.5147,72.7,6,L336
rlinear,ETTm1,336,336,2023,0.372350,0.385172,0.650672,113234,225792,3.7654,72.7,9,L336
fits,ETTm1,336,336,2021,0.372278,0.384959,0.655977,7224,28224,4.6600,72.8,17,L336
fits,ETTm1,336,336,2022,0.372202,0.384935,0.655735,7224,28224,3.9883,72.8,18,L336
fits,ETTm1,336,336,2023,0.372206,0.384953,0.655569,7224,28224,4.1327,72.8,17,L336
freqlite,ETTm1,336,336,2021,0.372360,0.384085,0.650775,227477,507980,8.5377,76.8,7,L336
freqlite,ETTm1,336,336,2022,0.372647,0.385123,0.648462,227477,507980,7.0222,76.8,7,L336
freqlite,ETTm1,336,336,2023,0.371185,0.384050,0.649846,227477,507980,6.7061,76.8,9,L336
patchtst,ETTm1,336,336,2021,0.368668,0.394258,0.639581,974226,0,14.5213,165.1,4,L336
patchtst,ETTm1,336,336,2022,0.386105,0.404174,0.662282,974226,0,14.5554,165.1,4,L336
patchtst,ETTm1,336,336,2023,0.387964,0.404666,0.675532,974226,0,14.1993,165.1,4,L336
naive,ETTm1,336,720,2021,1.322312,0.729468,1.832082,0,0,0.0000,70.0,0,L336
naive,ETTm1,336,720,2022,1.322312,0.729468,1.832082,0,0,0.0000,70.0,0,L336
naive,ETTm1,336,720,2023,1.322312,0.729468,1.832082,0,0,0.0000,70.0,0,L336
nlinear,ETTm1,336,720,2021,0.429649,0.418208,0.961800,242640,483840,2.7539,77.1,9,L336
nlinear,ETTm1,336,720,2022,0.433949,0.421058,0.962582,242640,483840,2.9229,77.1,6,L336
nlinear,ETTm1,336,720,2023,0.429272,0.418453,0.960500,242640,483840,3.3607,77.1,9,L336
dlinear,ETTm1,336,720,2021,0.426149,0.422140,0.861249,485280,967680,3.8880,81.9,7,L336
